book_id,title,author,genre,publication_year,publisher,language,page_count,rating,description,isbn,price
0,The God of Small Things,Arundhati Roy,Literary Fiction,1997,Random House,English,321,4.3,"The story of the tragic decline of an Indian family whose members suffer the terrible consequences of forbidden love.",978-0679457312,14.99
1,The White Tiger,Aravind Adiga,Contemporary Fiction,2008,Free Press,English,304,4.1,"A story about a man's journey from being a poor villager to becoming a successful entrepreneur in modern India.",978-1416562597,15.99
2,The Palace of Illusions,Chitra Banerjee Divakaruni,Mythological Fiction,2008,Doubleday,English,360,4.4,"A retelling of the Mahabharata from Draupadi's perspective.",978-0385520365,16.99
3,The Immortals of Meluha,Amish Tripathi,Mythological Fiction,2010,Westland,English,390,4.5,"The first book in the Shiva Trilogy, reimagining Lord Shiva as a man.",978-9380658742,12.99
4,The Namesake,Jhumpa Lahiri,Contemporary Fiction,2003,Houghton Mifflin,English,291,4.2,"The story of a Bengali family's struggle to assimilate in America.",978-0395927212,13.99
5,The Guide,R.K. Narayan,Classic,1958,Penguin Books,English,220,4.0,"A story of a tour guide who becomes a spiritual guru.",978-0143039642,9.99
6,The Discovery of India,Jawaharlal Nehru,History,1946,Oxford University Press,English,656,4.6,"A comprehensive history of India from ancient times to the British Raj.",978-0195623598,24.99
7,The Room on the Roof,Ruskin Bond,Coming of Age,1956,Penguin Books,English,192,4.2,"A story of an orphaned Anglo-Indian boy's coming of age in Dehradun.",978-0143333634,8.99
8,The Inheritance of Loss,Kiran Desai,Literary Fiction,2006,Grove Press,English,324,4.0,"A story about the lives of people in India and America, dealing with globalization and immigration.",978-0802142818,15.99
9,The Great Indian Novel,Shashi Tharoor,Historical Fiction,1989,Penguin Books,English,423,4.3,"A satirical novel that parallels the Indian independence movement with the Mahabharata.",978-0140120493,14.99
10,The Shadow Lines,Amitav Ghosh,Literary Fiction,1988,Penguin Books,English,246,4.4,"A novel about the impact of political borders on human relationships.",978-0143066556,12.99
11,The Glass Palace,Amitav Ghosh,Historical Fiction,2000,Random House,English,548,4.5,"A historical novel spanning Burma, India, and Malaysia.",978-0375504315,16.99
12,The Lowland,Jhumpa Lahiri,Literary Fiction,2013,Knopf,English,340,4.1,"A story of two brothers and the choices that shape their lives.",978-0307265746,15.99
13,The Hungry Tide,Amitav Ghosh,Literary Fiction,2004,Houghton Mifflin,English,333,4.3,"A novel set in the Sundarbans, exploring the relationship between humans and nature.",978-0618329972,14.99
14,The Blue Umbrella,Ruskin Bond,Children's Fiction,1980,Puffin Books,English,96,4.5,"A heartwarming story about a young girl and her prized possession.",978-0143333627,7.99
15,The Serpent's Revenge,Sudha Murty,Mythological Fiction,2018,Penguin Books,English,208,4.2,"A collection of stories from Indian mythology.",978-0143442374,9.99
16,The Sialkot Saga,Ashwin Sanghi,Historical Fiction,2016,Westland,English,520,4.4,"A story spanning generations, from the partition to modern India.",978-9385724357,16.99
17,The Rozabal Line,Ashwin Sanghi,Thriller,2007,Westland,English,380,4.0,"A thriller exploring the connection between Jesus Christ and Kashmir.",978-9380658674,12.99
18,The Krishna Key,Ashwin Sanghi,Mythological Fiction,2012,Westland,English,480,4.3,"A thriller combining mythology with modern science.",978-9381626689,14.99
19,The Oath of the Vayuputras,Amish Tripathi,Mythological Fiction,2013,Westland,English,420,4.6,"The final book in the Shiva Trilogy.",978-9381626375,15.99
20,The Secret of the Nagas,Amish Tripathi,Mythological Fiction,2011,Westland,English,396,4.5,"The second book in the Shiva Trilogy.",978-9380658643,14.99
21,The Scion of Ikshvaku,Amish Tripathi,Mythological Fiction,2015,Westland,English,376,4.4,"The first book in the Ram Chandra Series.",978-9385152141,13.99
22,The Sita's Sister,Kavita Kane,Mythological Fiction,2014,Rupa Publications,English,312,4.3,"A retelling of the Ramayana from Urmila's perspective.",978-8129135728,11.99
23,The Forest of Enchantments,Chitra Banerjee Divakaruni,Mythological Fiction,2019,HarperCollins,English,368,4.4,"A retelling of the Ramayana from Sita's perspective.",978-9353025924,16.99
24,The Pregnant King,Devdutt Pattanaik,Mythological Fiction,2008,Penguin Books,English,280,4.2,"A novel exploring gender and sexuality in Indian mythology.",978-0143063470,12.99
25,The Difficulty of Being Good,Gurcharan Das,Philosophy,2009,Penguin Books,English,480,4.3,"An exploration of the Mahabharata's moral dilemmas.",978-0143064828,15.99
26,The Argumentative Indian,Amartya Sen,Essays,2005,Penguin Books,English,432,4.4,"A collection of essays on Indian history, culture, and identity.",978-0141012117,14.99
27,The Story of My Experiments with Truth,Mahatma Gandhi,Autobiography,1927,Navajivan Publishing,English,528,4.7,"Mahatma Gandhi's autobiography.",978-8172292941,12.99
28,The Man Who Knew Infinity,Robert Kanigel,Biography,1991,Washington Square Press,English,438,4.6,"A biography of the mathematical genius Srinivasa Ramanujan.",978-0671750619,16.99
29,The Last Lecture,Randy Pausch,Memoir,2008,Hyperion,English,206,4.7,"A professor's final lecture about achieving childhood dreams.",978-1401323257,13.99
30,The Art of War,Sun Tzu,Strategy,5th century BC,Penguin Books,English,273,4.5,"An ancient Chinese military treatise.",978-0140439199,9.99
31,The Alchemist,Paulo Coelho,Fantasy,1988,HarperOne,English,208,4.5,"A philosophical novel about following one's dreams.",978-0062315007,14.99
32,The Kite Runner,Khaled Hosseini,Drama,2003,Riverhead Books,English,371,4.7,"A story of friendship and redemption in Afghanistan.",978-1594631931,15.99
33,The Midnight's Children,Salman Rushdie,Magical Realism,1981,Random House,English,536,4.4,"A story of children born at the moment of India's independence.",978-0679725402,16.99
34,The Satanic Verses,Salman Rushdie,Magical Realism,1988,Viking Press,English,546,4.2,"A controversial novel exploring themes of migration and identity.",978-0670825370,15.99
35,The Moor's Last Sigh,Salman Rushdie,Magical Realism,1995,Random House,English,435,4.3,"A family saga set in modern India.",978-0679766740,14.99
36,The Golden House,Salman Rushdie,Contemporary Fiction,2017,Random House,English,380,4.1,"A novel about a mysterious family in modern America.",978-0399592805,16.99
37,The Ground Beneath Her Feet,Salman Rushdie,Magical Realism,1999,Random House,English,575,4.2,"A rock and roll love story with mythological elements.",978-0312270803,15.99
38,The Enchantress of Florence,Salman Rushdie,Historical Fiction,2008,Random House,English,349,4.0,"A historical novel set in Renaissance Florence and Mughal India.",978-0679640414,14.99
39,The Ministry of Utmost Happiness,Arundhati Roy,Literary Fiction,2017,Knopf,English,449,4.2,"A novel about contemporary India and its social issues.",978-0525434796,16.99
40,The Algebra of Infinite Justice,Arundhati Roy,Essays,2002,Penguin Books,English,320,4.3,"A collection of political essays.",978-0141001425,13.99
41,The End of Imagination,Arundhati Roy,Essays,1998,South End Press,English,96,4.4,"Essays on nuclear weapons and Indian politics.",978-0896086022,10.99
42,The Doctor and the Saint,Arundhati Roy,Essays,2017,Haymarket Books,English,160,4.5,"An examination of caste and politics in India.",978-1608467792,12.99
43,The Book of Gold Leaves,Mirza Waheed,Literary Fiction,2014,Viking,English,320,4.2,"A love story set in Kashmir.",978-0670087189,14.99
44,The Collaborator,Mirza Waheed,Literary Fiction,2011,Viking,English,304,4.3,"A novel about the conflict in Kashmir.",978-0670087189,13.99
45,The Book of Chocolate Saints,Jeet Thayil,Literary Fiction,2017,Aleph Book Company,English,496,4.1,"A novel about art, poetry, and politics in modern India.",978-9386021058,16.99
46,The Narcopolis,Jeet Thayil,Literary Fiction,2012,Faber & Faber,English,304,4.4,"A novel about the drug culture in Mumbai.",978-0571288951,14.99
47,The Illicit Happiness of Other People,Manu Joseph,Literary Fiction,2012,John Murray,English,304,4.2,"A story about a family in 1980s Madras.",978-1444742357,13.99
48,The Serious Men,Manu Joseph,Literary Fiction,2010,Fourth Estate,English,320,4.3,"A satirical novel about science and society in India.",978-0007350438,12.99
49,The Parcel,Anosh Irani,Literary Fiction,2016,Knopf Canada,English,320,4.4,"A novel about the transgender community in Mumbai.",978-0345816551,15.99
50,The Song of Kahunsha,Anosh Irani,Literary Fiction,2006,Doubleday Canada,English,304,4.2,"A story about street children in Mumbai.",978-0385660970,13.99
51,The Lives of Others,Neel Mukherjee,Literary Fiction,2014,Chatto & Windus,English,528,4.5,"A novel about a family in 1960s Calcutta.",978-0701187511,16.99
52,The Past Continuous,Neel Mukherjee,Literary Fiction,2008,Picador,English,320,4.3,"A story about a family in modern India.",978-0330450234,14.99
53,Ponniyin Selvan,Kalki Krishnamurthy,Historical Fiction,1955,Vikatan Publications,Tamil,2400,4.8,"A historical novel set in the Chola dynasty, following the life of Arulmozhi Varman.",978-8184687541,29.99
54,Silappadikaram,Ilango Adigal,Epic,2nd century CE,New Century Book House,Tamil,400,4.7,"One of the five great epics of Tamil literature, telling the story of Kannagi.",978-8120600135,19.99
55,Manimekalai,Seethalai Sathanar,Epic,2nd century CE,New Century Book House,Tamil,350,4.6,"A Buddhist epic poem and sequel to Silappadikaram.",978-8120600142,18.99
56,Thirukkural,Thiruvalluvar,Philosophy,1st century BCE,New Century Book House,Tamil,1330,4.9,"A classic Tamil text consisting of 1,330 couplets dealing with everyday virtues.",978-8120600138,15.99
57,Periya Puranam,Sekkizhar,Religious,12th century CE,New Century Book House,Tamil,450,4.5,"A Tamil poetic account depicting the lives of the 63 Nayanars.",978-8120600159,16.99
58,Naalayira Divya Prabandham,Nammalvar,Religious,8th-9th century CE,New Century Book House,Tamil,4000,4.8,"A collection of 4,000 Tamil verses composed by the 12 Alvars.",978-8120600166,24.99
59,Tholkappiyam,Tholkappiyar,Grammar,3rd century BCE,New Century Book House,Tamil,1612,4.7,"The earliest surviving work of Tamil literature and grammar.",978-8120600173,17.99
60,Ainkurunuru,Kapilar,Poetry,1st century CE,New Century Book House,Tamil,500,4.6,"A classical Tamil poetic work, part of the Eight Anthologies.",978-8120600180,14.99
61,Purananuru,Multiple Authors,Poetry,1st century CE,New Century Book House,Tamil,400,4.7,"A classical Tamil poetic work, part of the Eight Anthologies.",978-8120600197,13.99
62,Pathitrupathu,Multiple Authors,Poetry,1st century CE,New Century Book House,Tamil,300,4.6,"A classical Tamil poetic work, part of the Eight Anthologies.",978-8120600203,12.99
63,Paripaadal,Multiple Authors,Poetry,1st century CE,New Century Book House,Tamil,350,4.5,"A classical Tamil poetic work, part of the Eight Anthologies.",978-8120600210,13.99
64,Kalithogai,Multiple Authors,Poetry,1st century CE,New Century Book House,Tamil,400,4.6,"A classical Tamil poetic work, part of the Eight Anthologies.",978-8120600227,14.99
65,Kuruntogai,Multiple Authors,Poetry,1st century CE,New Century Book House,Tamil,300,4.7,"A classical Tamil poetic work, part of the Eight Anthologies.",978-8120600234,12.99
66,Natrinai,Multiple Authors,Poetry,1st century CE,New Century Book House,Tamil,350,4.6,"A classical Tamil poetic work, part of the Eight Anthologies.",978-8120600241,13.99
67,Agananuru,Multiple Authors,Poetry,1st century CE,New Century Book House,Tamil,400,4.7,"A classical Tamil poetic work, part of the Eight Anthologies.",978-8120600258,14.99
68,Parthiban Kanavu,Kalki Krishnamurthy,Historical Fiction,1942,Vikatan Publications,Tamil,350,4.8,"A historical novel set in the Pallava period.",978-8184687558,16.99
69,Sivagamiyin Sabatham,Kalki Krishnamurthy,Historical Fiction,1944,Vikatan Publications,Tamil,400,4.7,"A historical novel set in the Pallava period.",978-8184687565,17.99
70,Alai Osai,Kalki Krishnamurthy,Historical Fiction,1948,Vikatan Publications,Tamil,450,4.8,"A historical novel set during the Indian independence movement.",978-8184687572,18.99
71,Thiruvilayadal Puranam,Paranjothi Munivar,Religious,16th century CE,New Century Book House,Tamil,300,4.6,"A collection of 64 stories about Lord Shiva.",978-8120600265,15.99
72,Kandha Puranam,Kachiappa Sivachariyar,Religious,15th century CE,New Century Book House,Tamil,350,4.7,"A Tamil adaptation of the Skanda Purana.",978-8120600272,16.99
73,Periya Puranam,Sekkizhar,Religious,12th century CE,New Century Book House,Tamil,450,4.5,"A Tamil poetic account depicting the lives of the 63 Nayanars.",978-8120600289,17.99
74,Thiruvasagam,Manikkavasagar,Religious,9th century CE,New Century Book House,Tamil,400,4.8,"A collection of Tamil hymns in praise of Lord Shiva.",978-8120600296,16.99
75,Thiruvachakam,Manikkavasagar,Religious,9th century CE,New Century Book House,Tamil,350,4.7,"A collection of Tamil hymns in praise of Lord Shiva.",978-8120600302,15.99
76,Thirumandiram,Thirumoolar,Religious,7th century CE,New Century Book House,Tamil,3000,4.9,"A Tamil poetic work dealing with yoga, tantra, and philosophy.",978-8120600319,29.99
77,Thiruvalluva Maalai,Multiple Authors,Poetry,10th century CE,New Century Book House,Tamil,200,4.6,"A collection of 55 verses in praise of Thiruvalluvar.",978-8120600326,12.99
78,Thirukkural (English Translation),Thiruvalluvar,Philosophy,1st century BCE,New Century Book House,English,500,4.8,"English translation of the classic Tamil text on ethics and morality.",978-8120600333,19.99
79,Ponniyin Selvan (English Translation),Kalki Krishnamurthy,Historical Fiction,1955,Vikatan Publications,English,1200,4.7,"English translation of the classic historical novel set in the Chola dynasty.",978-8184687589,34.99
80,Silappadikaram (English Translation),Ilango Adigal,Epic,2nd century CE,New Century Book House,English,400,4.6,"English translation of the classic Tamil epic.",978-8120600340,22.99
81,Manimekalai (English Translation),Seethalai Sathanar,Epic,2nd century CE,New Century Book House,English,350,4.5,"English translation of the Buddhist epic poem.",978-8120600357,21.99
82,Tholkappiyam (English Translation),Tholkappiyar,Grammar,3rd century BCE,New Century Book House,English,800,4.7,"English translation of the earliest Tamil grammar text.",978-8120600364,24.99
83,Pathitrupathu (English Translation),Multiple Authors,Poetry,1st century CE,New Century Book House,English,300,4.6,"English translation of the classical Tamil poetic work.",978-8120600371,18.99
84,Paripaadal (English Translation),Multiple Authors,Poetry,1st century CE,New Century Book House,English,350,4.5,"English translation of the classical Tamil poetic work.",978-8120600388,19.99
85,Kalithogai (English Translation),Multiple Authors,Poetry,1st century CE,New Century Book House,English,400,4.6,"English translation of the classical Tamil poetic work.",978-8120600395,20.99
86,Kuruntogai (English Translation),Multiple Authors,Poetry,1st century CE,New Century Book House,English,300,4.7,"English translation of the classical Tamil poetic work.",978-8120600401,17.99
87,Natrinai (English Translation),Multiple Authors,Poetry,1st century CE,New Century Book House,English,350,4.6,"English translation of the classical Tamil poetic work.",978-8120600418,18.99
88,Agananuru (English Translation),Multiple Authors,Poetry,1st century CE,New Century Book House,English,400,4.7,"English translation of the classical Tamil poetic work.",978-8120600425,19.99
89,Parthiban Kanavu (English Translation),Kalki Krishnamurthy,Historical Fiction,1942,Vikatan Publications,English,350,4.8,"English translation of the historical novel set in the Pallava period.",978-8184687596,21.99
90,Sivagamiyin Sabatham (English Translation),Kalki Krishnamurthy,Historical Fiction,1944,Vikatan Publications,English,400,4.7,"English translation of the historical novel set in the Pallava period.",978-8184687602,22.99
91,Alai Osai (English Translation),Kalki Krishnamurthy,Historical Fiction,1948,Vikatan Publications,English,450,4.8,"English translation of the historical novel set during the Indian independence movement.",978-8184687619,23.99
92,Thiruvilayadal Puranam (English Translation),Paranjothi Munivar,Religious,16th century CE,New Century Book House,English,300,4.6,"English translation of the collection of stories about Lord Shiva.",978-8120600432,18.99
93,Kandha Puranam (English Translation),Kachiappa Sivachariyar,Religious,15th century CE,New Century Book House,English,350,4.7,"English translation of the Tamil adaptation of the Skanda Purana.",978-8120600449,19.99
94,Periya Puranam (English Translation),Sekkizhar,Religious,12th century CE,New Century Book House,English,450,4.5,"English translation of the Tamil poetic account of the 63 Nayanars.",978-8120600456,20.99
95,Thiruvasagam (English Translation),Manikkavasagar,Religious,9th century CE,New Century Book House,English,400,4.8,"English translation of the collection of Tamil hymns in praise of Lord Shiva.",978-8120600463,19.99
96,Thiruvachakam (English Translation),Manikkavasagar,Religious,9th century CE,New Century Book House,English,350,4.7,"English translation of the collection of Tamil hymns in praise of Lord Shiva.",978-8120600470,18.99
97,Thirumandiram (English Translation),Thirumoolar,Religious,7th century CE,New Century Book House,English,1500,4.9,"English translation of the Tamil poetic work on yoga and philosophy.",978-8120600487,39.99
98,Thiruvalluva Maalai (English Translation),Multiple Authors,Poetry,10th century CE,New Century Book House,English,200,4.6,"English translation of the collection of verses in praise of Thiruvalluvar.",978-8120600494,15.99
99,Naalayira Divya Prabandham (English Translation),Nammalvar,Religious,8th-9th century CE,New Century Book House,English,2000,4.8,"English translation of the collection of 4,000 Tamil verses by the 12 Alvars.",978-8120600500,29.99
100,Ainkurunuru (English Translation),Kapilar,Poetry,1st century CE,New Century Book House,English,500,4.6,"English translation of the classical Tamil poetic work.",978-8120600517,20.99
101,Purananuru (English Translation),Multiple Authors,Poetry,1st century CE,New Century Book House,English,400,4.7,"English translation of the classical Tamil poetic work.",978-8120600524,19.99
102,Pathitrupathu (English Translation),Multiple Authors,Poetry,1st century CE,New Century Book House,English,300,4.6,"English translation of the classical Tamil poetic work.",978-8120600531,18.99
103,The Great Expectations,Charles Dickens,Classic,1861,Penguin Classics,English,544,4.7,"A coming-of-age novel about Pip's journey to becoming a gentleman.",978-0141439563,9.99
104,The Count of Monte Cristo,Alexandre Dumas,Adventure,1844,Penguin Classics,English,1276,4.8,"An adventure novel about revenge and redemption.",978-0140449266,12.99
105,The Brothers Karamazov,Fyodor Dostoevsky,Philosophical,1880,Penguin Classics,English,796,4.8,"A philosophical novel about family, faith, and morality.",978-0140449242,14.99
106,The Picture of Dorian Gray,Oscar Wilde,Gothic,1890,Penguin Classics,English,254,4.6,"A Gothic novel about a man who remains young while his portrait ages.",978-0141439570,7.99
107,The Bell Jar,Sylvia Plath,Psychological,1963,Harper Perennial,English,288,4.5,"A semi-autobiographical novel about mental illness.",978-0060837020,14.99
108,The Road,Cormac McCarthy,Post-Apocalyptic,2006,Vintage,English,287,4.7,"A post-apocalyptic novel about a father and son's journey.",978-0307387899,15.99
109,The Secret History,Donna Tartt,Psychological,1992,Vintage,English,559,4.5,"A psychological thriller about a group of classics students.",978-1400031702,16.99
110,The Goldfinch,Donna Tartt,Drama,2013,Little,English,771,4.4,"A novel about a boy who survives a terrorist attack.",978-0316055437,18.99
111,The Night Circus,Erin Morgenstern,Fantasy,2011,Anchor,English,387,4.6,"A fantasy novel about a magical competition.",978-0307744432,15.99
112,The Ocean at the End of the Lane,Neil Gaiman,Fantasy,2013,William Morrow,English,181,4.7,"A fantasy novel about childhood memories and magic.",978-0062255655,14.99
113,The Song of Achilles,Madeline Miller,Historical Fiction,2011,Ecco,English,416,4.8,"A retelling of the Iliad from Patroclus's perspective.",978-0062060624,15.99
114,The Book Thief,Markus Zusak,Historical Fiction,2005,Knopf,English,552,4.7,"A novel about a young girl in Nazi Germany.",978-0375842207,12.99
