book_id,title,author,genre,publication_year,publisher,language,page_count,rating,description,isbn,price
115,The Da Vinci Code,Dan Brown,Thriller,2003,Anchor,English,489,4.2,"A mystery thriller about a conspiracy in the Catholic Church.",978-0307474278,9.99
116,The Hunger Games,Suzanne Collins,Dystopian,2008,Scholastic Press,English,374,4.7,"A dystopian novel about a televised fight to the death.",978-0439023481,14.99
117,The Fault in Our Stars,John Green,Romance,2012,Dutton Books,English,313,4.7,"A young adult novel about two teenagers with cancer.",978-0525478812,12.99
118,The Girl with the Dragon Tattoo,Stieg Larsson,Thriller,2005,Vintage,English,465,4.4,"A crime thriller about a journalist and a hacker.",978-0307454546,15.99
119,The Help,Kathryn Stockett,Historical Fiction,2009,Berkley,English,451,4.8,"A novel about African American maids in 1960s Mississippi.",978-0425232200,16.99
120,The Martian,Andy Weir,Science Fiction,2011,Broadway Books,English,369,4.7,"A science fiction novel about an astronaut stranded on Mars.",978-0553418026,15.99
121,The Handmaid's Tale,Margaret Atwood,Dystopian,1985,Anchor,English,311,4.7,"A dystopian novel about a totalitarian society.",978-0525562627,14.99
122,The Name of the Wind,Patrick Rothfuss,Fantasy,2007,DAW,English,662,4.8,"A fantasy novel about a musician and magician.",978-0756404741,17.99
123,The Silent Patient,Alex Michaelides,Thriller,2019,Celadon Books,English,352,4.5,"A psychological thriller about a woman who shoots her husband.",978-1250301697,16.99
124,The Midnight Library,Matt Haig,Fantasy,2020,Viking,English,304,4.4,"A novel about infinite possibilities and parallel lives.",978-0525559474,15.99
125,Project Hail Mary,Andy Weir,Science Fiction,2021,Ballantine Books,English,496,4.8,"A science fiction novel about an astronaut's mission to save humanity.",978-1524741338,17.99
126,The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,Historical Fiction,2017,Atria Books,English,389,4.7,"A novel about a reclusive Hollywood legend.",978-1501161933,16.99
127,Verity,Colleen Hoover,Thriller,2018,Grand Central Publishing,English,336,4.6,"A psychological thriller about a writer's dark secrets.",978-1538724736,15.99
128,The House in the Cerulean Sea,T.J. Klune,Fantasy,2020,Tor Books,English,398,4.8,"A fantasy novel about a caseworker at a magical orphanage.",978-1250217288,16.99
129,The Invisible Life of Addie LaRue,V.E. Schwab,Fantasy,2020,Tor Books,English,448,4.7,"A fantasy novel about a woman who makes a Faustian bargain.",978-0765387561,17.99
130,The Thursday Murder Club,Richard Osman,Mystery,2020,Pamela Dorman Books,English,384,4.5,"A mystery novel about a group of elderly friends solving crimes.",978-0241988268,16.99
131,The Last Thing He Told Me,Laura Dave,Thriller,2021,Simon & Schuster,English,320,4.6,"A thriller about a woman searching for her missing husband.",978-1501171345,15.99
132,The Lincoln Highway,Amor Towles,Historical Fiction,2021,Viking,English,592,4.7,"A novel about a road trip across 1950s America.",978-0735222359,18.99
133,The Paris Apartment,Lucy Foley,Thriller,2022,William Morrow,English,416,4.4,"A thriller set in a Paris apartment building.",978-0008384745,16.99
134,The Maid,Nita Prose,Mystery,2022,Ballantine Books,English,304,4.5,"A mystery novel about a hotel maid who finds a dead guest.",978-0593356159,15.99
135,To Kill a Mockingbird,Harper Lee,Classic,1960,Grand Central Publishing,English,281,4.8,"A classic novel about racial injustice and moral growth in the American South.",978-0446310789,14.99
136,1984,George Orwell,Dystopian,1949,Signet Classic,English,328,4.7,"A dystopian novel about totalitarianism and surveillance.",978-0451524935,9.99
137,Pride and Prejudice,Jane Austen,Romance,1813,Penguin Classics,English,432,4.8,"A romantic novel about the Bennet family and their daughters' marriages.",978-0141439518,7.99
138,The Great Gatsby,F. Scott Fitzgerald,Classic,1925,Scribner,English,180,4.5,"A novel about the American Dream and the Jazz Age.",978-0743273565,12.99
139,The Catcher in the Rye,J.D. Salinger,Coming of Age,1951,Little,English,277,4.5,"A novel about teenage alienation and loss of innocence.",978-0316769488,13.99
140,Lord of the Flies,William Golding,Allegory,1954,Penguin Books,English,224,4.5,"An allegorical novel about the dark side of human nature.",978-0140283334,10.99
141,The Hobbit,J.R.R. Tolkien,Fantasy,1937,Mariner Books,English,310,4.8,"A fantasy novel about Bilbo Baggins' adventure with dwarves.",978-0547928227,14.99
142,The Lord of the Rings,J.R.R. Tolkien,Fantasy,1954,Mariner Books,English,1178,4.9,"An epic fantasy novel about the quest to destroy the One Ring.",978-0544003415,24.99
143,The Chronicles of Narnia,C.S. Lewis,Fantasy,1950,HarperCollins,English,767,4.8,"A series of fantasy novels about the magical land of Narnia.",978-0064404990,19.99
144,The Giver,Lois Lowry,Dystopian,1993,Ember,English,240,4.7,"A dystopian novel about a seemingly perfect society.",978-0544336261,9.99
145,The Picture of Dorian Gray,Oscar Wilde,Gothic,1890,Penguin Classics,English,254,4.6,"A Gothic novel about a man who remains young while his portrait ages.",978-0141439570,7.99
146,The Goldfinch,Donna Tartt,Drama,2013,Little,English,771,4.4,"A novel about a boy who survives a terrorist attack.",978-0316055437,18.99
147,The Kite Runner,Khaled Hosseini,Drama,2003,Riverhead Books,English,371,4.7,"A story of friendship and redemption in Afghanistan.",978-1594631931,15.99
148,The Book Thief,Markus Zusak,Historical Fiction,2005,Knopf,English,552,4.7,"A novel about a young girl in Nazi Germany.",978-0375842207,12.99
149,The Help,Kathryn Stockett,Historical Fiction,2009,Berkley,English,451,4.8,"A novel about African American maids in 1960s Mississippi.",978-0425232200,16.99
150,The Martian,Andy Weir,Science Fiction,2011,Broadway Books,English,369,4.7,"A science fiction novel about an astronaut stranded on Mars.",978-0553418026,15.99
151,The Handmaid's Tale,Margaret Atwood,Dystopian,1985,Anchor,English,311,4.7,"A dystopian novel about a totalitarian society.",978-0525562627,14.99
152,The Name of the Wind,Patrick Rothfuss,Fantasy,2007,DAW,English,662,4.8,"A fantasy novel about a musician and magician.",978-0756404741,17.99
153,The Silent Patient,Alex Michaelides,Thriller,2019,Celadon Books,English,352,4.5,"A psychological thriller about a woman who shoots her husband.",978-1250301697,16.99
154,The Midnight Library,Matt Haig,Fantasy,2020,Viking,English,304,4.4,"A novel about infinite possibilities and parallel lives.",978-0525559474,15.99
155,Project Hail Mary,Andy Weir,Science Fiction,2021,Ballantine Books,English,496,4.8,"A science fiction novel about an astronaut's mission to save humanity.",978-1524741338,17.99
156,The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,Historical Fiction,2017,Atria Books,English,389,4.7,"A novel about a reclusive Hollywood legend.",978-1501161933,16.99
157,Verity,Colleen Hoover,Thriller,2018,Grand Central Publishing,English,336,4.6,"A psychological thriller about a writer's dark secrets.",978-1538724736,15.99
158,The House in the Cerulean Sea,T.J. Klune,Fantasy,2020,Tor Books,English,398,4.8,"A fantasy novel about a caseworker at a magical orphanage.",978-1250217288,16.99
159,The Invisible Life of Addie LaRue,V.E. Schwab,Fantasy,2020,Tor Books,English,448,4.7,"A fantasy novel about a woman who makes a Faustian bargain.",978-0765387561,17.99
160,The Thursday Murder Club,Richard Osman,Mystery,2020,Pamela Dorman Books,English,384,4.5,"A mystery novel about a group of elderly friends solving crimes.",978-0241988268,16.99
161,The Last Thing He Told Me,Laura Dave,Thriller,2021,Simon & Schuster,English,320,4.6,"A thriller about a woman searching for her missing husband.",978-1501171345,15.99
162,The Lincoln Highway,Amor Towles,Historical Fiction,2021,Viking,English,592,4.7,"A novel about a road trip across 1950s America.",978-0735222359,18.99
163,The Paris Apartment,Lucy Foley,Thriller,2022,William Morrow,English,416,4.4,"A thriller set in a Paris apartment building.",978-0008384745,16.99
164,The Maid,Nita Prose,Mystery,2022,Ballantine Books,English,304,4.5,"A mystery novel about a hotel maid who finds a dead guest.",978-0593356159,15.99
165,The Great Expectations,Charles Dickens,Classic,1861,Penguin Classics,English,544,4.7,"A coming-of-age novel about Pip's journey to becoming a gentleman.",978-0141439563,9.99
166,The Count of Monte Cristo,Alexandre Dumas,Adventure,1844,Penguin Classics,English,1276,4.8,"An adventure novel about revenge and redemption.",978-0140449266,12.99
167,The Brothers Karamazov,Fyodor Dostoevsky,Philosophical,1880,Penguin Classics,English,796,4.8,"A philosophical novel about family, faith, and morality.",978-0140449242,14.99
168,The Picture of Dorian Gray,Oscar Wilde,Gothic,1890,Penguin Classics,English,254,4.6,"A Gothic novel about a man who remains young while his portrait ages.",978-0141439570,7.99
169,The Bell Jar,Sylvia Plath,Psychological,1963,Harper Perennial,English,288,4.5,"A semi-autobiographical novel about mental illness.",978-0060837020,14.99
170,The Road,Cormac McCarthy,Post-Apocalyptic,2006,Vintage,English,287,4.7,"A post-apocalyptic novel about a father and son's journey.",978-0307387899,15.99
171,The Secret History,Donna Tartt,Psychological,1992,Vintage,English,559,4.5,"A psychological thriller about a group of classics students.",978-1400031702,16.99
172,The Goldfinch,Donna Tartt,Drama,2013,Little,English,771,4.4,"A novel about a boy who survives a terrorist attack.",978-0316055437,18.99
173,The Night Circus,Erin Morgenstern,Fantasy,2011,Anchor,English,387,4.6,"A fantasy novel about a magical competition.",978-0307744432,15.99
174,The Ocean at the End of the Lane,Neil Gaiman,Fantasy,2013,William Morrow,English,181,4.7,"A fantasy novel about childhood memories and magic.",978-0062255655,14.99
175,The Song of Achilles,Madeline Miller,Historical Fiction,2011,Ecco,English,416,4.8,"A retelling of the Iliad from Patroclus's perspective.",978-0062060624,15.99
176,The Book Thief,Markus Zusak,Historical Fiction,2005,Knopf,English,552,4.7,"A novel about a young girl in Nazi Germany.",978-0375842207,12.99
177,The Da Vinci Code,Dan Brown,Thriller,2003,Anchor,English,489,4.2,"A mystery thriller about a conspiracy in the Catholic Church.",978-0307474278,9.99
178,The Hunger Games,Suzanne Collins,Dystopian,2008,Scholastic Press,English,374,4.7,"A dystopian novel about a televised fight to the death.",978-0439023481,14.99
179,The Fault in Our Stars,John Green,Romance,2012,Dutton Books,English,313,4.7,"A young adult novel about two teenagers with cancer.",978-0525478812,12.99
180,The Girl with the Dragon Tattoo,Stieg Larsson,Thriller,2005,Vintage,English,465,4.4,"A crime thriller about a journalist and a hacker.",978-0307454546,15.99
181,The Help,Kathryn Stockett,Historical Fiction,2009,Berkley,English,451,4.8,"A novel about African American maids in 1960s Mississippi.",978-0425232200,16.99
182,The Martian,Andy Weir,Science Fiction,2011,Broadway Books,English,369,4.7,"A science fiction novel about an astronaut stranded on Mars.",978-0553418026,15.99
183,The Handmaid's Tale,Margaret Atwood,Dystopian,1985,Anchor,English,311,4.7,"A dystopian novel about a totalitarian society.",978-0525562627,14.99
184,The Name of the Wind,Patrick Rothfuss,Fantasy,2007,DAW,English,662,4.8,"A fantasy novel about a musician and magician.",978-0756404741,17.99
185,The Silent Patient,Alex Michaelides,Thriller,2019,Celadon Books,English,352,4.5,"A psychological thriller about a woman who shoots her husband.",978-1250301697,16.99
186,The Midnight Library,Matt Haig,Fantasy,2020,Viking,English,304,4.4,"A novel about infinite possibilities and parallel lives.",978-0525559474,15.99
187,Project Hail Mary,Andy Weir,Science Fiction,2021,Ballantine Books,English,496,4.8,"A science fiction novel about an astronaut's mission to save humanity.",978-1524741338,17.99
188,The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,Historical Fiction,2017,Atria Books,English,389,4.7,"A novel about a reclusive Hollywood legend.",978-1501161933,16.99
189,Verity,Colleen Hoover,Thriller,2018,Grand Central Publishing,English,336,4.6,"A psychological thriller about a writer's dark secrets.",978-1538724736,15.99
190,The House in the Cerulean Sea,T.J. Klune,Fantasy,2020,Tor Books,English,398,4.8,"A fantasy novel about a caseworker at a magical orphanage.",978-1250217288,16.99
191,The Invisible Life of Addie LaRue,V.E. Schwab,Fantasy,2020,Tor Books,English,448,4.7,"A fantasy novel about a woman who makes a Faustian bargain.",978-0765387561,17.99
192,The Thursday Murder Club,Richard Osman,Mystery,2020,Pamela Dorman Books,English,384,4.5,"A mystery novel about a group of elderly friends solving crimes.",978-0241988268,16.99
193,The Last Thing He Told Me,Laura Dave,Thriller,2021,Simon & Schuster,English,320,4.6,"A thriller about a woman searching for her missing husband.",978-1501171345,15.99
194,The Lincoln Highway,Amor Towles,Historical Fiction,2021,Viking,English,592,4.7,"A novel about a road trip across 1950s America.",978-0735222359,18.99
195,The Paris Apartment,Lucy Foley,Thriller,2022,William Morrow,English,416,4.4,"A thriller set in a Paris apartment building.",978-0008384745,16.99
196,The Maid,Nita Prose,Mystery,2022,Ballantine Books,English,304,4.5,"A mystery novel about a hotel maid who finds a dead guest.",978-0593356159,15.99
197,The Great Expectations,Charles Dickens,Classic,1861,Penguin Classics,English,544,4.7,"A coming-of-age novel about Pip's journey to becoming a gentleman.",978-0141439563,9.99
198,The Count of Monte Cristo,Alexandre Dumas,Adventure,1844,Penguin Classics,English,1276,4.8,"An adventure novel about revenge and redemption.",978-0140449266,12.99
199,The Brothers Karamazov,Fyodor Dostoevsky,Philosophical,1880,Penguin Classics,English,796,4.8,"A philosophical novel about family, faith, and morality.",978-0140449242,14.99
200,The Picture of Dorian Gray,Oscar Wilde,Gothic,1890,Penguin Classics,English,254,4.6,"A Gothic novel about a man who remains young while his portrait ages.",978-0141439570,7.99
201,The Bell Jar,Sylvia Plath,Psychological,1963,Harper Perennial,English,288,4.5,"A semi-autobiographical novel about mental illness.",978-0060837020,14.99
202,The Road,Cormac McCarthy,Post-Apocalyptic,2006,Vintage,English,287,4.7,"A post-apocalyptic novel about a father and son's journey.",978-0307387899,15.99
203,The Secret History,Donna Tartt,Psychological,1992,Vintage,English,559,4.5,"A psychological thriller about a group of classics students.",978-1400031702,16.99
204,The Goldfinch,Donna Tartt,Drama,2013,Little,English,771,4.4,"A novel about a boy who survives a terrorist attack.",978-0316055437,18.99
205,The Night Circus,Erin Morgenstern,Fantasy,2011,Anchor,English,387,4.6,"A fantasy novel about a magical competition.",978-0307744432,15.99
206,The Ocean at the End of the Lane,Neil Gaiman,Fantasy,2013,William Morrow,English,181,4.7,"A fantasy novel about childhood memories and magic.",978-0062255655,14.99
207,The Song of Achilles,Madeline Miller,Historical Fiction,2011,Ecco,English,416,4.8,"A retelling of the Iliad from Patroclus's perspective.",978-0062060624,15.99
208,The Book Thief,Markus Zusak,Historical Fiction,2005,Knopf,English,552,4.7,"A novel about a young girl in Nazi Germany.",978-0375842207,12.99
209,The Da Vinci Code,Dan Brown,Thriller,2003,Anchor,English,489,4.2,"A mystery thriller about a conspiracy in the Catholic Church.",978-0307474278,9.99
210,The Hunger Games,Suzanne Collins,Dystopian,2008,Scholastic Press,English,374,4.7,"A dystopian novel about a televised fight to the death.",978-0439023481,14.99
211,The Fault in Our Stars,John Green,Romance,2012,Dutton Books,English,313,4.7,"A young adult novel about two teenagers with cancer.",978-0525478812,12.99
212,The Girl with the Dragon Tattoo,Stieg Larsson,Thriller,2005,Vintage,English,465,4.4,"A crime thriller about a journalist and a hacker.",978-0307454546,15.99
213,The Help,Kathryn Stockett,Historical Fiction,2009,Berkley,English,451,4.8,"A novel about African American maids in 1960s Mississippi.",978-0425232200,16.99
214,The Martian,Andy Weir,Science Fiction,2011,Broadway Books,English,369,4.7,"A science fiction novel about an astronaut stranded on Mars.",978-0553418026,15.99
215,The Handmaid's Tale,Margaret Atwood,Dystopian,1985,Anchor,English,311,4.7,"A dystopian novel about a totalitarian society.",978-0525562627,14.99
216,The Name of the Wind,Patrick Rothfuss,Fantasy,2007,DAW,English,662,4.8,"A fantasy novel about a musician and magician.",978-0756404741,17.99
217,The Silent Patient,Alex Michaelides,Thriller,2019,Celadon Books,English,352,4.5,"A psychological thriller about a woman who shoots her husband.",978-1250301697,16.99
218,The Midnight Library,Matt Haig,Fantasy,2020,Viking,English,304,4.4,"A novel about infinite possibilities and parallel lives.",978-0525559474,15.99
219,Project Hail Mary,Andy Weir,Science Fiction,2021,Ballantine Books,English,496,4.8,"A science fiction novel about an astronaut's mission to save humanity.",978-1524741338,17.99
220,The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,Historical Fiction,2017,Atria Books,English,389,4.7,"A novel about a reclusive Hollywood legend.",978-1501161933,16.99
221,Verity,Colleen Hoover,Thriller,2018,Grand Central Publishing,English,336,4.6,"A psychological thriller about a writer's dark secrets.",978-1538724736,15.99
222,The House in the Cerulean Sea,T.J. Klune,Fantasy,2020,Tor Books,English,398,4.8,"A fantasy novel about a caseworker at a magical orphanage.",978-1250217288,16.99
223,The Invisible Life of Addie LaRue,V.E. Schwab,Fantasy,2020,Tor Books,English,448,4.7,"A fantasy novel about a woman who makes a Faustian bargain.",978-0765387561,17.99
224,The Thursday Murder Club,Richard Osman,Mystery,2020,Pamela Dorman Books,English,384,4.5,"A mystery novel about a group of elderly friends solving crimes.",978-0241988268,16.99
225,The Last Thing He Told Me,Laura Dave,Thriller,2021,Simon & Schuster,English,320,4.6,"A thriller about a woman searching for her missing husband.",978-1501171345,15.99
226,The Lincoln Highway,Amor Towles,Historical Fiction,2021,Viking,English,592,4.7,"A novel about a road trip across 1950s America.",978-0735222359,18.99
227,The Paris Apartment,Lucy Foley,Thriller,2022,William Morrow,English,416,4.4,"A thriller set in a Paris apartment building.",978-0008384745,16.99
228,The Maid,Nita Prose,Mystery,2022,Ballantine Books,English,304,4.5,"A mystery novel about a hotel maid who finds a dead guest.",978-0593356159,15.99
229,The Great Expectations,Charles Dickens,Classic,1861,Penguin Classics,English,544,4.7,"A coming-of-age novel about Pip's journey to becoming a gentleman.",978-0141439563,9.99
230,The Count of Monte Cristo,Alexandre Dumas,Adventure,1844,Penguin Classics,English,1276,4.8,"An adventure novel about revenge and redemption.",978-0140449266,12.99
231,The Brothers Karamazov,Fyodor Dostoevsky,Philosophical,1880,Penguin Classics,English,796,4.8,"A philosophical novel about family, faith, and morality.",978-0140449242,14.99
232,The Picture of Dorian Gray,Oscar Wilde,Gothic,1890,Penguin Classics,English,254,4.6,"A Gothic novel about a man who remains young while his portrait ages.",978-0141439570,7.99
233,The Bell Jar,Sylvia Plath,Psychological,1963,Harper Perennial,English,288,4.5,"A semi-autobiographical novel about mental illness.",978-0060837020,14.99
234,The Road,Cormac McCarthy,Post-Apocalyptic,2006,Vintage,English,287,4.7,"A post-apocalyptic novel about a father and son's journey.",978-0307387899,15.99
235,The Secret History,Donna Tartt,Psychological,1992,Vintage,English,559,4.5,"A psychological thriller about a group of classics students.",978-1400031702,16.99
236,The Goldfinch,Donna Tartt,Drama,2013,Little,English,771,4.4,"A novel about a boy who survives a terrorist attack.",978-0316055437,18.99
237,The Night Circus,Erin Morgenstern,Fantasy,2011,Anchor,English,387,4.6,"A fantasy novel about a magical competition.",978-0307744432,15.99
238,The Ocean at the End of the Lane,Neil Gaiman,Fantasy,2013,William Morrow,English,181,4.7,"A fantasy novel about childhood memories and magic.",978-0062255655,14.99
239,The Song of Achilles,Madeline Miller,Historical Fiction,2011,Ecco,English,416,4.8,"A retelling of the Iliad from Patroclus's perspective.",978-0062060624,15.99
240,The Book Thief,Markus Zusak,Historical Fiction,2005,Knopf,English,552,4.7,"A novel about a young girl in Nazi Germany.",978-0375842207,12.99
241,The Da Vinci Code,Dan Brown,Thriller,2003,Anchor,English,489,4.2,"A mystery thriller about a conspiracy in the Catholic Church.",978-0307474278,9.99
242,The Hunger Games,Suzanne Collins,Dystopian,2008,Scholastic Press,English,374,4.7,"A dystopian novel about a televised fight to the death.",978-0439023481,14.99
